date,triplet,head,relation,tail,sentence
2024-02-08,"{'head': 'Pharmaceutical giant Eli Lilly And Co', 'relation': 'surpassed', 'tail': 'Tesla Inc to become the world’s 8th largest business.'}",Pharmaceutical giant Eli Lilly And Co,surpassed,Tesla Inc to become the world’s 8th largest business.,Pharmaceutical giant Eli Lilly And Co surpassed Tesla Inc to become the world’s 8th largest business.
2024-02-08,"{'head': 'Tesla', 'relation': 'part of', 'tail': 'The ""Magnificent Seven"" tech stocks'}",Tesla,part of,"The ""Magnificent Seven"" tech stocks","Tesla part of The ""Magnificent Seven"" tech stocks"
2024-02-08,"{'head': '""Magnificent Seven"" tech stocks', 'relation': 'experienced', 'tail': 'huge share-price gains'}","""Magnificent Seven"" tech stocks",experienced,huge share-price gains,"""Magnificent Seven"" tech stocks experienced huge share-price gains"
2024-02-08,"{'head': '""Magnificent Seven"" tech stocks', 'relation': 'drove', 'tail': '70% of the absolute performance of the Nasdaq Composite Index'}","""Magnificent Seven"" tech stocks",drove,70% of the absolute performance of the Nasdaq Composite Index,"""Magnificent Seven"" tech stocks drove 70% of the absolute performance of the Nasdaq Composite Index"
2024-02-08,"{'head': 'Tesla', 'relation': 'gained', 'tail': 'only 1.06% while other tech stocks gained much more.'}",Tesla,gained,only 1.06% while other tech stocks gained much more.,Tesla gained only 1.06% while other tech stocks gained much more.
2024-02-09,"{'head': 'Tesla', 'relation': 'stock price performance', 'tail': 'decreased by 22%'}",Tesla,stock price performance,decreased by 22%,Tesla stock price performance decreased by 22%
2024-02-09,"{'head': 'Tesla', 'relation': 'shareholder vote', 'tail': 'move incorporation to Texas'}",Tesla,shareholder vote,move incorporation to Texas,Tesla shareholder vote move incorporation to Texas
2024-02-09,"{'head': 'Elon Musk', 'relation': 'compensation package', 'tail': 'invalidated by Delaware judge'}",Elon Musk,compensation package,invalidated by Delaware judge,Elon Musk compensation package invalidated by Delaware judge
2024-02-09,"{'head': 'Elon Musk', 'relation': 'advice to founders', 'tail': 'avoid incorporation in Delaware'}",Elon Musk,advice to founders,avoid incorporation in Delaware,Elon Musk advice to founders avoid incorporation in Delaware
2024-02-09,"{'head': 'Tesla', 'relation': 'incorporation state', 'tail': 'Delaware'}",Tesla,incorporation state,Delaware,Tesla incorporation state Delaware
2024-02-10,"{'head': 'Tesla', 'relation': 'reduced prices', 'tail': 'Model Y cars in the U.S.'}",Tesla,reduced prices,Model Y cars in the U.S.,Tesla reduced prices Model Y cars in the U.S.
2024-02-10,"{'head': 'Tesla', 'relation': 'cut prices', 'tail': 'Model Y cars in Germany'}",Tesla,cut prices,Model Y cars in Germany,Tesla cut prices Model Y cars in Germany
2024-02-10,"{'head': 'Model Y rear-wheel drive', 'relation': 'reduced by', 'tail': '$1000'}",Model Y rear-wheel drive,reduced by,$1000,Model Y rear-wheel drive reduced by $1000
2024-02-10,"{'head': 'Model Y Long Range', 'relation': 'reduced by', 'tail': '$1000'}",Model Y Long Range,reduced by,$1000,Model Y Long Range reduced by $1000
2024-02-10,"{'head': 'Model Y rear-wheel drive', 'relation': 'price', 'tail': '$42,990'}",Model Y rear-wheel drive,price,"$42,990","Model Y rear-wheel drive price $42,990"
2024-02-11,"{'head': 'Tesla', 'relation': 'reduced price of', 'tail': 'Model Y cars in the U.S.'}",Tesla,reduced price of,Model Y cars in the U.S.,Tesla reduced price of Model Y cars in the U.S.
2024-02-11,"{'head': 'Major supplier', 'relation': 'reported decline in revenue from', 'tail': 'Tesla'}",Major supplier,reported decline in revenue from,Tesla,Major supplier reported decline in revenue from Tesla
2024-02-11,"{'head': 'Tesla', 'relation': 'facing increased competition in', 'tail': 'electric vehicle market'}",Tesla,facing increased competition in,electric vehicle market,Tesla facing increased competition in electric vehicle market
2024-02-11,"{'head': 'Tesla', 'relation': 'contributor to', 'tail': 'market gains'}",Tesla,contributor to,market gains,Tesla contributor to market gains
2024-02-11,"{'head': 'Adam Spatacco', 'relation': 'has positions in', 'tail': 'Tesla'}",Adam Spatacco,has positions in,Tesla,Adam Spatacco has positions in Tesla
2024-02-12,"{'head': 'Tesla', 'relation': 'had a significant stock price drop of', 'tail': '-2.8%'}",Tesla,had a significant stock price drop of,-2.8%,Tesla had a significant stock price drop of -2.8%
2024-02-12,"{'head': 'Tesla', 'relation': 'is expected to have', 'tail': 'significantly lower growth in 2024 compared to 2023'}",Tesla,is expected to have,significantly lower growth in 2024 compared to 2023,Tesla is expected to have significantly lower growth in 2024 compared to 2023
2024-02-12,"{'head': 'Tesla FSD', 'relation': 'is consistent with the narrative of', 'tail': 'uncertain economic conditions'}",Tesla FSD,is consistent with the narrative of,uncertain economic conditions,Tesla FSD is consistent with the narrative of uncertain economic conditions
2024-02-12,"{'head': 'Tesla FSD licensing announcement', 'relation': 'is not expected to be major anytime soon', 'tail': 'None'}",Tesla FSD licensing announcement,is not expected to be major anytime soon,None,Tesla FSD licensing announcement is not expected to be major anytime soon None
2024-02-12,"{'head': 'Price cuts to FSD', 'relation': 'could be an important catalyst for', 'tail': 'Tesla shares'}",Price cuts to FSD,could be an important catalyst for,Tesla shares,Price cuts to FSD could be an important catalyst for Tesla shares
2024-02-13,"{'head': 'Tesla Inc', 'relation': 'violated', 'tail': 'New York City’s pay transparency law'}",Tesla Inc,violated,New York City’s pay transparency law,Tesla Inc violated New York City’s pay transparency law
2024-02-13,"{'head': 'New York City', 'relation': 'issued', 'tail': 'complaint against Tesla Inc'}",New York City,issued,complaint against Tesla Inc,New York City issued complaint against Tesla Inc
2024-02-13,"{'head': 'Tesla Inc', 'relation': 'did not include', 'tail': 'salary range in job ads'}",Tesla Inc,did not include,salary range in job ads,Tesla Inc did not include salary range in job ads
2024-02-13,"{'head': 'Tesla Inc', 'relation': 'posted', 'tail': 'wide salary bands'}",Tesla Inc,posted,wide salary bands,Tesla Inc posted wide salary bands
2024-02-13,"{'head': 'Tesla Inc', 'relation': 'ignored', 'tail': 'requirement'}",Tesla Inc,ignored,requirement,Tesla Inc ignored requirement
2024-02-14,"{'head': 'Albemarle', 'relation': 'supplies lithium to', 'tail': 'Tesla'}",Albemarle,supplies lithium to,Tesla,Albemarle supplies lithium to Tesla
2024-02-14,"{'head': 'Albemarle', 'relation': 'cutting jobs', 'tail': 'preserve cash'}",Albemarle,cutting jobs,preserve cash,Albemarle cutting jobs preserve cash
2024-02-14,"{'head': 'BYD', 'relation': 'overtook', 'tail': 'Tesla'}",BYD,overtook,Tesla,BYD overtook Tesla
2024-02-14,"{'head': 'Chinese automakers', 'relation': 'could be a threat to', 'tail': 'Tesla'}",Chinese automakers,could be a threat to,Tesla,Chinese automakers could be a threat to Tesla
2024-02-14,"{'head': 'Elon Musk', 'relation': 'predicted', 'tail': 'Chinese automakers will demolish global rivals'}",Elon Musk,predicted,Chinese automakers will demolish global rivals,Elon Musk predicted Chinese automakers will demolish global rivals
2024-02-15,"{'head': ""Tesla's stock price"", 'relation': 'increased by', 'tail': '6.2%'}",Tesla's stock price,increased by,6.2%,Tesla's stock price increased by 6.2%
2024-02-15,"{'head': ""Tesla's stock price"", 'relation': 'outperformed', 'tail': 'broader electric vehicle market'}",Tesla's stock price,outperformed,broader electric vehicle market,Tesla's stock price outperformed broader electric vehicle market
2024-02-15,"{'head': 'Retail sales', 'relation': 'decreased', 'tail': '0.8%'}",Retail sales,decreased,0.8%,Retail sales decreased 0.8%
2024-02-15,"{'head': 'Retail sales', 'relation': 'disappointed', 'tail': 'investors'}",Retail sales,disappointed,investors,Retail sales disappointed investors
2024-02-15,"{'head': 'Bond yields', 'relation': 'dipped', 'tail': 'slightly'}",Bond yields,dipped,slightly,Bond yields dipped slightly
2024-02-16,"{'head': 'Tesla', 'relation': 'has experienced', 'tail': '140% stock gain in the last year'}",Tesla,has experienced,140% stock gain in the last year,Tesla has experienced 140% stock gain in the last year
2024-02-16,"{'head': 'Gary Black', 'relation': 'predicts', 'tail': ""Tesla's stock might ascend owing to stable pricing and enhanced Full Self-Driving adoption""}",Gary Black,predicts,Tesla's stock might ascend owing to stable pricing and enhanced Full Self-Driving adoption,Gary Black predicts Tesla's stock might ascend owing to stable pricing and enhanced Full Self-Driving adoption
2024-02-16,"{'head': 'Tesla', 'relation': 'is a component of', 'tail': 'Magnificent 7 companies'}",Tesla,is a component of,Magnificent 7 companies,Tesla is a component of Magnificent 7 companies
2024-02-16,"{'head': 'Elon Musk', 'relation': 'stated', 'tail': 'Many people want to buy Tesla cars but cannot afford them'}",Elon Musk,stated,Many people want to buy Tesla cars but cannot afford them,Elon Musk stated Many people want to buy Tesla cars but cannot afford them
2024-02-16,"{'head': ""Tesla's stock"", 'relation': 'influenced by', 'tail': 'low consumer sentiment about the economy'}",Tesla's stock,influenced by,low consumer sentiment about the economy,Tesla's stock influenced by low consumer sentiment about the economy
2024-02-17,"{'head': 'Tesla Inc', 'relation': 'declined', 'tail': 'during the period'}",Tesla Inc,declined,during the period,Tesla Inc declined during the period
2024-02-17,"{'head': ""Tesla's decline"", 'relation': 'caused', 'tail': '28 bps loss in performance'}",Tesla's decline,caused,28 bps loss in performance,Tesla's decline caused 28 bps loss in performance
2024-02-17,"{'head': ""Tesla's stock"", 'relation': 'affected by', 'tail': 'declining company performance'}",Tesla's stock,affected by,declining company performance,Tesla's stock affected by declining company performance
2024-02-17,"{'head': ""Tesla's performance"", 'relation': 'impacted by', 'tail': 'significant pricing power'}",Tesla's performance,impacted by,significant pricing power,Tesla's performance impacted by significant pricing power
2024-02-17,"{'head': ""Tesla's profit"", 'relation': 'sufficient to support', 'tail': 'product development plan'}",Tesla's profit,sufficient to support,product development plan,Tesla's profit sufficient to support product development plan
2024-02-18,"{'head': 'Tesla', 'relation': 'is the', 'tail': 'worlds largest auto manufacturer'}",Tesla,is the,worlds largest auto manufacturer,Tesla is the worlds largest auto manufacturer
2024-02-18,"{'head': 'Elon Musk', 'relation': 'is the', 'tail': 'largest shareholder in Tesla'}",Elon Musk,is the,largest shareholder in Tesla,Elon Musk is the largest shareholder in Tesla
2024-02-18,"{'head': 'Elon Musk', 'relation': 'holds', 'tail': 'nearly 23% of all Tesla shares'}",Elon Musk,holds,nearly 23% of all Tesla shares,Elon Musk holds nearly 23% of all Tesla shares
2024-02-18,"{'head': 'Elon Musk', 'relation': 'owns', 'tail': 'more than three times as many Tesla shares as the next largest shareholder'}",Elon Musk,owns,more than three times as many Tesla shares as the next largest shareholder,Elon Musk owns more than three times as many Tesla shares as the next largest shareholder
2024-02-18,"{'head': 'Elon Musk', 'relation': 'is also', 'tail': 'CEO of SpaceX, Neuralink, and The Boring Company'}",Elon Musk,is also,"CEO of SpaceX, Neuralink, and The Boring Company","Elon Musk is also CEO of SpaceX, Neuralink, and The Boring Company"
2024-02-20,"{'head': 'Tesla', 'relation': 'stock price', 'tail': 'down nearly 24% year-to-date'}",Tesla,stock price,down nearly 24% year-to-date,Tesla stock price down nearly 24% year-to-date
2024-02-20,"{'head': 'Tesla', 'relation': 'growth forecast', 'tail': 'weaker for 2024'}",Tesla,growth forecast,weaker for 2024,Tesla growth forecast weaker for 2024
2024-02-20,"{'head': 'Tesla', 'relation': 'stock rating', 'tail': 'downgraded to Neutral by Daiwa Capitals analyst Jairam Nathan'}",Tesla,stock rating,downgraded to Neutral by Daiwa Capitals analyst Jairam Nathan,Tesla stock rating downgraded to Neutral by Daiwa Capitals analyst Jairam Nathan
2024-02-20,"{'head': 'Tesla', 'relation': 'management struggle', 'tail': 'CEO Elon Musk seeking to expand voting control to 25%'}",Tesla,management struggle,CEO Elon Musk seeking to expand voting control to 25%,Tesla management struggle CEO Elon Musk seeking to expand voting control to 25%
2024-02-20,"{'head': 'Tesla', 'relation': 'price war', 'tail': 'Tesla sparked a price war early last year'}",Tesla,price war,Tesla sparked a price war early last year,Tesla price war Tesla sparked a price war early last year
2024-02-21,"{'head': 'Tesla', 'relation': 'is facing', 'tail': 'constant risk of competition'}",Tesla,is facing,constant risk of competition,Tesla is facing constant risk of competition
2024-02-21,"{'head': 'Tesla Model 2 Redwood', 'relation': 'is expected to be priced', 'tail': '$25,000'}",Tesla Model 2 Redwood,is expected to be priced,"$25,000","Tesla Model 2 Redwood is expected to be priced $25,000"
2024-02-21,"{'head': 'Tesla Model 2 Redwood', 'relation': 'is expected to arrive', 'tail': '2025'}",Tesla Model 2 Redwood,is expected to arrive,2025,Tesla Model 2 Redwood is expected to arrive 2025
2024-02-21,"{'head': 'Tesla Model 3', 'relation': 'is comparable to', 'tail': 'Geely Galaxy E8'}",Tesla Model 3,is comparable to,Geely Galaxy E8,Tesla Model 3 is comparable to Geely Galaxy E8
2024-02-21,"{'head': 'Tesla', 'relation': 'is facing', 'tail': 'competition from Geely Galaxy E8'}",Tesla,is facing,competition from Geely Galaxy E8,Tesla is facing competition from Geely Galaxy E8
2024-02-22,"{'head': 'Tesla', 'relation': 'has temporarily paused', 'tail': 'European production'}",Tesla,has temporarily paused,European production,Tesla has temporarily paused European production
2024-02-22,"{'head': 'Tesla', 'relation': 'is projected to have', 'tail': '21.18% decrease in EPS'}",Tesla,is projected to have,21.18% decrease in EPS,Tesla is projected to have 21.18% decrease in EPS
2024-02-22,"{'head': 'Tesla', 'relation': 'is trading at', 'tail': 'a premium Forward P/E ratio'}",Tesla,is trading at,a premium Forward P/E ratio,Tesla is trading at a premium Forward P/E ratio
2024-02-22,"{'head': 'Tesla', 'relation': 'has', 'tail': 'a Zacks Rank of #3 (Hold)'}",Tesla,has,a Zacks Rank of #3 (Hold),Tesla has a Zacks Rank of #3 (Hold)
2024-02-22,"{'head': 'Tesla', 'relation': 'increased', 'tail': '1.36%'}",Tesla,increased,1.36%,Tesla increased 1.36%
2024-02-23,"{'head': 'Tesla', 'relation': 'has rival', 'tail': 'VinFast'}",Tesla,has rival,VinFast,Tesla has rival VinFast
2024-02-23,"{'head': 'VinFast', 'relation': 'has product design', 'tail': 'not bad'}",VinFast,has product design,not bad,VinFast has product design not bad
2024-02-23,"{'head': 'Tesla', 'relation': 'has lower sales growth', 'tail': 'this year'}",Tesla,has lower sales growth,this year,Tesla has lower sales growth this year
2024-02-23,"{'head': 'Tesla', 'relation': 'has been surpassed in global EV sales', 'tail': 'by BYD'}",Tesla,has been surpassed in global EV sales,by BYD,Tesla has been surpassed in global EV sales by BYD
2024-02-23,"{'head': 'Tesla', 'relation': 'has warned of lower sales growth', 'tail': 'after a disappointing fourth quarter'}",Tesla,has warned of lower sales growth,after a disappointing fourth quarter,Tesla has warned of lower sales growth after a disappointing fourth quarter
2024-02-24,"{'head': 'Tesla', 'relation': 'asked to start construction of Mexican factory', 'tail': 'in March at the latest'}",Tesla,asked to start construction of Mexican factory,in March at the latest,Tesla asked to start construction of Mexican factory in March at the latest
2024-02-24,"{'head': 'Elon Musk', 'relation': 'expressed concerns', 'tail': 'about high interest rates and the global economy'}",Elon Musk,expressed concerns,about high interest rates and the global economy,Elon Musk expressed concerns about high interest rates and the global economy
2024-02-24,"{'head': 'Tesla', 'relation': 'plans to build', 'tail': 'a cheaper next-generation electric vehicle at the gigafactory'}",Tesla,plans to build,a cheaper next-generation electric vehicle at the gigafactory,Tesla plans to build a cheaper next-generation electric vehicle at the gigafactory
2024-02-24,"{'head': 'Tesla', 'relation': 'will produce', 'tail': 'its next-generation entry level vehicle in its Texas factory'}",Tesla,will produce,its next-generation entry level vehicle in its Texas factory,Tesla will produce its next-generation entry level vehicle in its Texas factory
2024-02-24,"{'head': 'Nuevo Leon', 'relation': 'offered', 'tail': '$153 million in local government incentives'}",Nuevo Leon,offered,$153 million in local government incentives,Nuevo Leon offered $153 million in local government incentives
2024-02-25,"{'head': 'Tesla', 'relation': 'is developing', 'tail': 'battery technology'}",Tesla,is developing,battery technology,Tesla is developing battery technology
2024-02-25,"{'head': 'Tesla', 'relation': 'is developing', 'tail': 'solar energy solutions'}",Tesla,is developing,solar energy solutions,Tesla is developing solar energy solutions
2024-02-25,"{'head': 'Tesla', 'relation': 'has developed', 'tail': 'its own semiconductor and robotics solutions'}",Tesla,has developed,its own semiconductor and robotics solutions,Tesla has developed its own semiconductor and robotics solutions
2024-02-25,"{'head': 'Tesla', 'relation': 'is developing', 'tail': 'the Dojo chip'}",Tesla,is developing,the Dojo chip,Tesla is developing the Dojo chip
2024-02-25,"{'head': 'Tesla', 'relation': 'is developing', 'tail': 'the FSD (full self-driving) chip'}",Tesla,is developing,the FSD (full self-driving) chip,Tesla is developing the FSD (full self-driving) chip
2024-02-26,"{'head': 'Tesla Inc.', 'relation': 'has experienced a stock price decline', 'tail': 'since crossing the $1 trillion mark'}",Tesla Inc.,has experienced a stock price decline,since crossing the $1 trillion mark,Tesla Inc. has experienced a stock price decline since crossing the $1 trillion mark
2024-02-26,"{'head': 'Tesla Inc.', 'relation': 'outperformed the S&P 500 index', 'tail': 'by almost 4%'}",Tesla Inc.,outperformed the S&P 500 index,by almost 4%,Tesla Inc. outperformed the S&P 500 index by almost 4%
2024-02-26,"{'head': 'Tesla Inc.', 'relation': 'remained below', 'tail': 'the $2tn market capitalization milestone'}",Tesla Inc.,remained below,the $2tn market capitalization milestone,Tesla Inc. remained below the $2tn market capitalization milestone
2024-02-26,"{'head': 'S&P 500 index', 'relation': 'declined', 'tail': 'by 0.4%'}",S&P 500 index,declined,by 0.4%,S&P 500 index declined by 0.4%
2024-02-26,"{'head': 'Nasdaq Composite', 'relation': 'fell', 'tail': 'by 0.1%'}",Nasdaq Composite,fell,by 0.1%,Nasdaq Composite fell by 0.1%
2024-02-27,"{'head': 'Tesla', 'relation': 'is facing competition from', 'tail': 'BYD'}",Tesla,is facing competition from,BYD,Tesla is facing competition from BYD
2024-02-27,"{'head': 'Tesla', 'relation': 'has been using', 'tail': 'non-traditional advertising techniques'}",Tesla,has been using,non-traditional advertising techniques,Tesla has been using non-traditional advertising techniques
2024-02-27,"{'head': 'Apple', 'relation': 'is developing', 'tail': 'an autonomous electric taxi'}",Apple,is developing,an autonomous electric taxi,Apple is developing an autonomous electric taxi
2024-02-27,"{'head': 'Tesla', 'relation': 'is facing competition from', 'tail': 'Apple'}",Tesla,is facing competition from,Apple,Tesla is facing competition from Apple
2024-02-27,"{'head': 'Tesla', 'relation': 'is facing competition from', 'tail': 'other automakers who are focusing on hybrid cars'}",Tesla,is facing competition from,other automakers who are focusing on hybrid cars,Tesla is facing competition from other automakers who are focusing on hybrid cars
2024-02-28,"{'head': 'Tesla', 'relation': 'excludes', 'tail': 'dividend-paying stocks'}",Tesla,excludes,dividend-paying stocks,Tesla excludes dividend-paying stocks
2024-02-28,"{'head': 'Tesla', 'relation': 'anticipated', 'tail': '21.18% fall in EPS'}",Tesla,anticipated,21.18% fall in EPS,Tesla anticipated 21.18% fall in EPS
2024-02-28,"{'head': 'Tesla', 'relation': 'trades at', 'tail': 'Forward P/E ratio of 63.29'}",Tesla,trades at,Forward P/E ratio of 63.29,Tesla trades at Forward P/E ratio of 63.29
2024-02-28,"{'head': 'Tesla', 'relation': 'has', 'tail': 'PEG ratio of 2.83'}",Tesla,has,PEG ratio of 2.83,Tesla has PEG ratio of 2.83
2024-02-28,"{'head': 'Tesla', 'relation': 'monitored by', 'tail': 'analysts and investors'}",Tesla,monitored by,analysts and investors,Tesla monitored by analysts and investors
2024-02-29,"{'head': 'Nvidia', 'relation': 'replaced', 'tail': 'Tesla'}",Nvidia,replaced,Tesla,Nvidia replaced Tesla
2024-02-29,"{'head': 'Tesla', 'relation': 'has', 'tail': 'P-E [FWD] Ratio of 69.25'}",Tesla,has,P-E [FWD] Ratio of 69.25,Tesla has P-E [FWD] Ratio of 69.25
2024-02-29,"{'head': 'Tesla', 'relation': 'has', 'tail': 'Sector Median of 16.86'}",Tesla,has,Sector Median of 16.86,Tesla has Sector Median of 16.86
2024-02-29,"{'head': 'Tesla', 'relation': 'poses', 'tail': 'investment risk'}",Tesla,poses,investment risk,Tesla poses investment risk
2024-02-29,"{'head': 'Tesla', 'relation': 'is', 'tail': 'relatively high-risk company'}",Tesla,is,relatively high-risk company,Tesla is relatively high-risk company
2024-03-01,"{'head': 'Elon Musk', 'relation': 'CEO of', 'tail': 'Tesla'}",Elon Musk,CEO of,Tesla,Elon Musk CEO of Tesla
2024-03-01,"{'head': 'Legal team', 'relation': 'requested', 'tail': ""29 million Tesla's stock""}",Legal team,requested,29 million Tesla's stock,Legal team requested 29 million Tesla's stock
2024-03-01,"{'head': ""29 million Tesla's stock"", 'relation': 'worth', 'tail': '$5.95 billion'}",29 million Tesla's stock,worth,$5.95 billion,29 million Tesla's stock worth $5.95 billion
2024-03-01,"{'head': 'Tesla', 'relation': 'designs and builds', 'tail': 'electric vehicles'}",Tesla,designs and builds,electric vehicles,Tesla designs and builds electric vehicles
2024-03-01,"{'head': 'Elon Musk', 'relation': 'co-founded', 'tail': 'OpenAI'}",Elon Musk,co-founded,OpenAI,Elon Musk co-founded OpenAI
2024-03-02,"{'head': 'Elon Musk', 'relation': 'paid', 'tail': '$55B'}",Elon Musk,paid,$55B,Elon Musk paid $55B
2024-03-02,"{'head': 'Lawyers', 'relation': 'request', 'tail': '$6B'}",Lawyers,request,$6B,Lawyers request $6B
2024-03-02,"{'head': 'Lawyers', 'relation': 'nullify', 'tail': ""Elon Musk's $55B pay package""}",Lawyers,nullify,Elon Musk's $55B pay package,Lawyers nullify Elon Musk's $55B pay package
2024-03-02,"{'head': 'Elon Musk', 'relation': 'call', 'tail': 'Lawyers criminal'}",Elon Musk,call,Lawyers criminal,Elon Musk call Lawyers criminal
2024-03-02,"{'head': 'Elon Musk', 'relation': 'say', 'tail': 'system is broken'}",Elon Musk,say,system is broken,Elon Musk say system is broken
2024-03-03,"{'head': 'Tesla', 'relation': 'raised prices of', 'tail': 'certain Model Y vehicles in the U.S. market by $1,000'}",Tesla,raised prices of,"certain Model Y vehicles in the U.S. market by $1,000","Tesla raised prices of certain Model Y vehicles in the U.S. market by $1,000"
2024-03-03,"{'head': 'Tesla', 'relation': 'temporarily cut prices of', 'tail': 'some of its Model Y cars in the U.S. until Feb. 29'}",Tesla,temporarily cut prices of,some of its Model Y cars in the U.S. until Feb. 29,Tesla temporarily cut prices of some of its Model Y cars in the U.S. until Feb. 29
2024-03-03,"{'head': 'Car buyers in the U.S.', 'relation': 'opted for', 'tail': 'hybrids over EVs in the past few months'}",Car buyers in the U.S.,opted for,hybrids over EVs in the past few months,Car buyers in the U.S. opted for hybrids over EVs in the past few months
2024-03-03,"{'head': 'some EV models', 'relation': 'losing eligibility for', 'tail': 'federal tax credits over battery sourcing requirements included in the Inflation Reduction Act'}",some EV models,losing eligibility for,federal tax credits over battery sourcing requirements included in the Inflation Reduction Act,some EV models losing eligibility for federal tax credits over battery sourcing requirements included in the Inflation Reduction Act
2024-03-03,"{'head': 'Tesla', 'relation': 'warned of', 'tail': 'notably lower sales growth this year'}",Tesla,warned of,notably lower sales growth this year,Tesla warned of notably lower sales growth this year
2024-03-04,"{'head': 'Tesla', 'relation': 'fell', 'tail': '7.2%'}",Tesla,fell,7.2%,Tesla fell 7.2%
2024-03-04,"{'head': 'Tesla', 'relation': 'down', 'tail': '50%'}",Tesla,down,50%,Tesla down 50%
2024-03-04,"{'head': 'Tesla', 'relation': 'shipments', 'tail': 'lowest in a year'}",Tesla,shipments,lowest in a year,Tesla shipments lowest in a year
2024-03-04,"{'head': 'Delaware judge', 'relation': 'struck down', 'tail': ""Musk's $55 billion pay package""}",Delaware judge,struck down,Musk's $55 billion pay package,Delaware judge struck down Musk's $55 billion pay package
2024-03-04,"{'head': ""Musk's wealth"", 'relation': 'impacted', 'tail': 'pay package being struck down'}",Musk's wealth,impacted,pay package being struck down,Musk's wealth impacted pay package being struck down
2024-03-05,"{'head': ""Tesla's stock"", 'relation': 'slumped 3.9%', 'tail': ""after Monday's 7.2% tumble""}",Tesla's stock,slumped 3.9%,after Monday's 7.2% tumble,Tesla's stock slumped 3.9% after Monday's 7.2% tumble
2024-03-05,"{'head': ""Tesla's stock"", 'relation': 'approached 2024 lows', 'tail': 'amid several negative headlines'}",Tesla's stock,approached 2024 lows,amid several negative headlines,Tesla's stock approached 2024 lows amid several negative headlines
2024-03-05,"{'head': ""Tesla's stock"", 'relation': 'is Cathie Woods', 'tail': 'No. 2 holding'}",Tesla's stock,is Cathie Woods,No. 2 holding,Tesla's stock is Cathie Woods No. 2 holding
2024-03-05,"{'head': 'Tesla Inc.', 'relation': 'extended a two-day selloff', 'tail': 'to 11%'}",Tesla Inc.,extended a two-day selloff,to 11%,Tesla Inc. extended a two-day selloff to 11%
2024-03-05,"{'head': 'Apple Inc.', 'relation': 'suffered its fifth straight loss', 'tail': 'Tesla Inc. extended a two-day selloff to 11%'}",Apple Inc.,suffered its fifth straight loss,Tesla Inc. extended a two-day selloff to 11%,Apple Inc. suffered its fifth straight loss Tesla Inc. extended a two-day selloff to 11%
2024-03-06,"{'head': ""Tesla's stock"", 'relation': 'may continue to weaken', 'tail': 'if it cannot maintain support around $177'}",Tesla's stock,may continue to weaken,if it cannot maintain support around $177,Tesla's stock may continue to weaken if it cannot maintain support around $177
2024-03-06,"{'head': ""Tesla's stock"", 'relation': 'underperformed', 'tail': 'the S&P 500'}",Tesla's stock,underperformed,the S&P 500,Tesla's stock underperformed the S&P 500
2024-03-06,"{'head': ""Tesla's stock"", 'relation': 'fell', 'tail': '2.3% to 176.54'}",Tesla's stock,fell,2.3% to 176.54,Tesla's stock fell 2.3% to 176.54
2024-03-06,"{'head': ""Tesla's stock"", 'relation': 'hit', 'tail': 'the worst levels in 10 months'}",Tesla's stock,hit,the worst levels in 10 months,Tesla's stock hit the worst levels in 10 months
2024-03-06,"{'head': 'Tesla', 'relation': 'could lose money', 'tail': 'this year amid weak sales, price cuts and heavy spending'}",Tesla,could lose money,"this year amid weak sales, price cuts and heavy spending","Tesla could lose money this year amid weak sales, price cuts and heavy spending"
2024-03-07,"{'head': 'Tesla', 'relation': 'accused of', 'tail': 'fraudulently inducing consumers'}",Tesla,accused of,fraudulently inducing consumers,Tesla accused of fraudulently inducing consumers
2024-03-07,"{'head': 'Tesla', 'relation': 'created', 'tail': ""a secret team to suppress drivers' complaints about driving range""}",Tesla,created,a secret team to suppress drivers' complaints about driving range,Tesla created a secret team to suppress drivers' complaints about driving range
2024-03-07,"{'head': 'Tesla', 'relation': 'misrepresented', 'tail': 'the driving range on vehicle dashboards'}",Tesla,misrepresented,the driving range on vehicle dashboards,Tesla misrepresented the driving range on vehicle dashboards
2024-03-07,"{'head': 'Federal judge', 'relation': 'ruled', 'tail': 'Tesla owners must pursue claims in individual arbitration'}",Federal judge,ruled,Tesla owners must pursue claims in individual arbitration,Federal judge ruled Tesla owners must pursue claims in individual arbitration
2024-03-07,"{'head': 'Lawsuits', 'relation': 'cited', 'tail': ""Reuters special report on Tesla's secret team""}",Lawsuits,cited,Reuters special report on Tesla's secret team,Lawsuits cited Reuters special report on Tesla's secret team
2024-03-08,"{'head': 'Tesla', 'relation': 'declined by more than 2%', 'tail': 'in the news period'}",Tesla,declined by more than 2%,in the news period,Tesla declined by more than 2% in the news period
2024-03-08,"{'head': 'Tesla', 'relation': 'was down nearly 3%', 'tail': 'following a research report by Counterpoint'}",Tesla,was down nearly 3%,following a research report by Counterpoint,Tesla was down nearly 3% following a research report by Counterpoint
2024-03-08,"{'head': 'Tesla', 'relation': 'commanded an astounding 28.4%', 'tail': 'of SPX’s market capitalization'}",Tesla,commanded an astounding 28.4%,of SPX’s market capitalization,Tesla commanded an astounding 28.4% of SPX’s market capitalization
2024-03-08,"{'head': 'Tesla', 'relation': 'declined', 'tail': 'in the first six weeks of the year'}",Tesla,declined,in the first six weeks of the year,Tesla declined in the first six weeks of the year
